iter	Passed	Remaining
0	193	193574
1	247	123409
2	307	102123
3	351	87502
4	392	78115
5	435	72069
6	507	71954
7	545	67631
8	576	63500
9	610	60397
10	641	57720
11	670	55179
12	697	52967
13	747	52637
14	792	52040
15	837	51497
16	885	51222
17	930	50776
18	976	50424
19	1023	50160
20	1067	49787
21	1117	49663
22	1165	49508
23	1212	49297
24	1261	49195
25	1299	48693
26	1336	48167
27	1372	47656
28	1411	47275
29	1449	46863
30	1485	46420
31	1532	46363
32	1575	46163
33	1618	45978
34	1664	45898
35	1711	45838
36	1752	45601
37	1786	45229
38	1820	44868
39	1856	44565
40	1891	44232
41	1922	43851
42	1963	43689
43	1996	43374
44	2014	42743
45	2046	42437
46	2079	42172
47	2113	41922
48	2144	41623
49	2177	41366
50	2218	41283
51	2273	41444
52	2323	41515
53	2376	41624
54	2427	41715
55	2479	41789
56	2533	41909
57	2585	41994
58	2650	42267
59	2694	42219
60	2733	42075
61	2767	41865
62	2800	41655
63	2834	41460
64	2867	41248
65	2897	41004
66	2931	40827
67	2969	40697
68	2998	40453
69	3024	40187
70	3052	39944
71	3079	39697
72	3111	39513
73	3142	39329
74	3175	39161
75	3222	39181
76	3258	39056
77	3289	38879
78	3319	38699
79	3350	38535
80	3380	38354
81	3408	38158
82	3443	38049
83	3483	37990
84	3530	38002
85	3575	38002
86	3623	38028
87	3675	38088
88	3727	38152
89	3778	38208
90	3814	38107
91	3845	37957
92	3874	37788
93	3903	37619
94	3932	37460
95	3959	37287
96	3988	37127
97	4016	36970
98	4047	36836
99	4078	36709
100	4109	36575
101	4143	36480
102	4174	36358
103	4205	36233
104	4238	36124
105	4270	36017
106	4302	35910
107	4335	35809
108	4370	35723
109	4408	35669
110	4463	35747
111	4516	35805
112	4566	35843
113	4636	36037
114	4704	36206
115	4759	36273
116	4811	36311
117	4863	36351
118	4901	36290
119	4936	36203
120	4970	36105
121	5004	36012
122	5037	35915
123	5070	35818
124	5102	35719
125	5134	35612
126	5165	35506
127	5195	35391
128	5224	35274
129	5255	35172
130	5285	35063
131	5325	35019
132	5362	34955
133	5391	34844
134	5422	34742
135	5452	34638
136	5483	34543
137	5514	34447
138	5544	34343
139	5574	34241
140	5603	34139
141	5641	34084
142	5678	34029
143	5711	33950
144	5743	33864
145	5776	33790
146	5808	33705
147	5840	33622
148	5873	33544
149	5905	33462
150	5939	33396
151	5971	33316
152	6001	33225
153	6033	33143
154	6066	33071
155	6098	32991
156	6129	32912
157	6167	32869
158	6200	32798
159	6232	32720
160	6261	32627
161	6290	32540
162	6320	32457
163	6354	32393
164	6383	32306
165	6418	32249
166	6476	32307
167	6530	32340
168	6564	32276
169	6597	32213
170	6628	32134
171	6659	32057
172	6689	31979
173	6720	31904
174	6750	31824
175	6777	31733
176	6804	31638
177	6831	31549
178	6860	31464
179	6888	31383
180	6918	31303
181	6944	31211
182	6971	31123
183	6998	31037
184	7026	30953
185	7055	30875
186	7082	30793
187	7109	30708
188	7136	30624
189	7171	30573
190	7203	30509
191	7233	30442
192	7265	30378
193	7297	30318
194	7332	30269
195	7363	30206
196	7395	30144
197	7425	30076
198	7454	30005
199	7481	29927
200	7508	29846
201	7536	29771
202	7562	29690
203	7587	29605
204	7613	29524
205	7639	29444
206	7664	29363
207	7693	29293
208	7718	29213
209	7745	29137
210	7773	29066
211	7822	29077
212	7857	29031
213	7883	28956
214	7912	28888
215	7940	28820
216	7969	28754
217	7998	28691
218	8030	28636
219	8063	28587
220	8091	28522
221	8118	28451
222	8160	28432
223	8187	28362
224	8215	28296
225	8243	28232
226	8275	28180
227	8301	28109
228	8331	28050
229	8364	28003
230	8392	27937
231	8419	27871
232	8447	27808
233	8480	27760
234	8513	27714
235	8544	27660
236	8570	27591
237	8596	27524
238	8623	27456
239	8655	27407
240	8681	27341
241	8706	27272
242	8733	27206
243	8758	27137
244	8784	27070
245	8810	27004
246	8835	26934
247	8861	26871
248	8888	26806
249	8915	26746
250	8942	26685
251	8969	26622
252	8996	26562
253	9045	26565
254	9093	26568
255	9132	26540
256	9164	26495
257	9194	26443
258	9222	26385
259	9249	26325
260	9276	26265
261	9303	26205
262	9333	26155
263	9363	26104
264	9390	26045
265	9419	25991
266	9451	25947
267	9504	25959
268	9559	25978
269	9610	25984
270	9651	25963
271	9690	25935
272	9725	25897
273	9760	25862
274	9794	25821
275	9829	25785
276	9860	25736
277	9897	25706
278	9938	25684
279	9988	25685
280	10039	25689
281	10091	25693
282	10143	25699
283	10194	25702
284	10253	25723
285	10313	25748
286	10363	25746
287	10407	25729
288	10457	25727
289	10509	25730
290	10550	25706
291	10583	25662
292	10626	25641
293	10684	25657
294	10752	25695
295	10822	25740
296	10891	25780
297	10950	25796
298	10996	25781
299	11032	25742
300	11069	25705
301	11108	25674
302	11143	25632
303	11176	25588
304	11209	25544
305	11244	25501
306	11275	25453
307	11330	25455
308	11394	25481
309	11453	25493
310	11511	25502
311	11565	25503
312	11637	25542
313	11707	25577
314	11772	25600
315	11840	25629
316	11901	25642
317	11965	25661
318	12054	25733
319	12135	25788
320	12207	25821
321	12264	25823
322	12298	25777
323	12330	25726
324	12361	25673
325	12399	25635
326	12437	25597
327	12487	25584
328	12568	25633
329	12633	25650
330	12682	25632
331	12731	25615
332	12787	25613
333	12856	25635
334	12926	25659
335	12995	25682
336	13033	25641
337	13074	25606
338	13131	25604
339	13187	25599
340	13240	25588
341	13305	25599
342	13375	25619
343	13441	25631
344	13497	25625
345	13552	25615
346	13588	25571
347	13664	25601
348	13721	25595
349	13762	25559
350	13798	25513
351	13855	25507
352	13911	25497
353	13960	25476
354	14015	25464
355	14066	25446
356	14121	25433
357	14178	25426
358	14221	25391
359	14254	25340
360	14288	25291
361	14322	25242
362	14356	25193
363	14390	25143
364	14428	25101
365	14459	25048
366	14493	24997
367	14540	24971
368	14590	24950
369	14641	24930
370	14694	24913
371	14742	24887
372	14830	24930
373	14891	24926
374	14945	24908
375	14994	24884
376	15040	24853
377	15085	24822
378	15130	24791
379	15176	24761
380	15217	24723
381	15249	24670
382	15288	24629
383	15331	24594
384	15381	24570
385	15428	24541
386	15489	24534
387	15545	24520
388	15607	24514
389	15667	24504
390	15720	24484
391	15776	24469
392	15817	24431
393	15856	24388
394	15892	24342
395	15938	24310
